imputed_CARDIoGRAM_C4D_CAD_ADDITIVE	imputed_CNCR_Insomnia_all	imputed_DIAGRAM_T2D_TRANS_ETHNIC	imputed_GABRIEL_Asthma	imputed_GPC-NEO-NEUROTICISM	imputed_HRGene_HeartRate	imputed_IBD.EUR.Crohns_Disease	imputed_IBD.EUR.Inflammatory_Bowel_Disease	imputed_IBD.EUR.Ulcerative_Colitis	imputed_IGAP_Alzheimer	imputed_PGC_ADHD_EUR_2017	imputed_PGC_ASD_2017_CEU	imputed_TAGC_Asthma_EUR	imputed_UKB_20002_1261_self_reported_multiple_sclerosis	imputed_UKB_20002_1262_self_reported_parkinsons_disease	imputed_UKB_20002_1289_self_reported_schizophrenia	imputed_UKB_20127_Neuroticism_score	imputed_UKB_6152_8_diagnosed_by_doctor_Asthma
chr10:100042943-100046361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:100327097-100327617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:100362760-100363304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:100882358-100883570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:100911755-100914215	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:101012058-101013943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:101384862-101385365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:101445742-101446216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:101682027-101683345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:101918889-101920095	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:101968312-101968619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102247502-102247752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102450838-102451875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102478581-102480425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102596613-102597413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102597581-102598605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10:102598756-102599020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
